TXT_ActvOnline_ActvName_102702	AI		英雄养成手册	Hero Cultivation Handbook	Manual de Desarrollo de Héroes	Manuel de Développement des Héros	Buku Panduan Pengembangan Hero	Helden-Entwicklungshandbuch	영웅 육성 수첩	英雄養成手冊	Справочник развития героев	Довідник розвитку героїв	ヒーロー育成手帳	Manuale di Sviluppo Eroi	Podręcznik Rozwoju Bohaterów	Manual de Desenvolvimento de Heróis	Kahraman Geliştirme Kitabı	คู่มือพัฒนาฮีโร่
TXT_ActvOnline_ActvDesc_102702	AI		购买养成手册后，活动期间内每日登录都可以领取一份奖励	After purchasing the Handbook, log in daily during the event to claim a reward.	Tras comprar el Manual, inicia sesión cada día durante el evento para reclamar una recompensa.	Après avoir acheté le Manuel, connectez-vous chaque jour pendant l'événement pour réclamer une récompense.	Setelah membeli Buku Panduan, masuk setiap hari selama event untuk mengklaim hadiah.	Nach dem Kauf des Handbuchs logge dich während des Events täglich ein, um eine Belohnung zu erhalten.	수첩 구매 후 이벤트 기간 동안 매일 접속하면 보상을 받을 수 있습니다.	購買養成手冊後，活動期間內每日登入都可以領取一份獎勵	После покупки справочника заходите в игру каждый день во время события, чтобы получить награду.	Після придбання довідника заходьте у гру щодня протягом події, щоб отримати нагороду.	育成手帳を購入後、イベント期間中は毎日ログインで報酬を受け取れます。	Dopo aver acquistato il Manuale, accedi ogni giorno durante l'evento per riscuotere una ricompensa.	Po zakupie Podręcznika loguj się codziennie podczas wydarzenia, aby odebrać nagrodę.	Após comprar o Manual, entre no jogo diariamente durante o evento para receber uma recompensa.	Kitabı satın aldıktan sonra etkinlik boyunca her gün giriş yaparak ödül alabilirsin.	หลังจากซื้อคู่มือแล้ว เข้าสู่ระบบทุกวันในช่วงกิจกรรมเพื่อรับรางวัล
TXT_ActvLogin_Choice_Title	AI		英雄养成手册	Hero Cultivation Handbook	Manual de Desarrollo de Héroes	Manuel de Développement des Héros	Buku Panduan Pengembangan Hero	Helden-Entwicklungshandbuch	영웅 육성 수첩	英雄養成手冊	Справочник развития героев	Довідник розвитку героїв	ヒーロー育成手帳	Manuale di Sviluppo Eroi	Podręcznik Rozwoju Bohaterów	Manual de Desenvolvimento de Heróis	Kahraman Geliştirme Kitabı	คู่มือพัฒนาฮีโร่
TXT_ActvLogin_Choice_Desc	AI		基础版与豪华版二选一购买，择一即可	Choose one to buy: Basic or Deluxe.	Elige uno para comprar: Básico o De lujo.	Choisissez-en un à acheter : Basique ou Deluxe.	Pilih satu untuk dibeli: Dasar atau Mewah.	Wähle eines zum Kauf: Basis oder Deluxe.	기본판과 디럭스판 중 하나만 구매하세요.	基礎版與豪華版二選一購買，擇一即可	Выберите один вариант для покупки: Базовый или Делюкс.	Виберіть один варіант для придбання: Базовий або Делюкс.	ベーシック版とデラックス版のいずれか一つを購入できます。	Scegline uno da acquistare: Base o Deluxe.	Wybierz jedną opcję do kupienia: Podstawowa lub Deluxe.	Escolha um para comprar: Básico ou De luxo.	Satın almak için birini seç: Temel veya Lüks.	เลือกซื้อหนึ่งอย่าง: พื้นฐาน หรือ ดีลักซ์
TXT_ActvLogin_Basic_Name	AI		基础版	Basic	Básico	Basique	Dasar	Basis	기본판	基礎版	Базовый	Базовий	ベーシック版	Base	Podstawowa	Básico	Temel	พื้นฐาน
TXT_ActvLogin_Luxury_Name	AI		豪华版	Deluxe	De lujo	Deluxe	Mewah	Deluxe	디럭스판	豪華版	Делюкс	Делюкс	デラックス版	Deluxe	Deluxe	De luxo	Lüks	ดีลักซ์
TXT_ActvLogin_Owned	AI		已购买	Owned	Adquirido	Acheté	Dimiliki	Gekauft	구매함	已購買	Куплено	Придбано	購入済み	Acquistato	Zakupiono	Adquirido	Satın Alındı	ซื้อแล้ว
TXT_Pack_Name_220003	AI		英雄养成手册·基础版	Hero Cultivation Handbook · Basic	Manual de Desarrollo de Héroes · Básico	Manuel de Développement des Héros · Basique	Buku Panduan Pengembangan Hero · Dasar	Helden-Entwicklungshandbuch · Basis	영웅 육성 수첩 · 기본판	英雄養成手冊·基礎版	Справочник развития героев · Базовый	Довідник розвитку героїв · Базовий	ヒーロー育成手帳・ベーシック版	Manuale di Sviluppo Eroi · Base	Podręcznik Rozwoju Bohaterów · Podstawowa	Manual de Desenvolvimento de Heróis · Básico	Kahraman Geliştirme Kitabı · Temel	คู่มือพัฒนาฮีโร่ · พื้นฐาน
TXT_Pack_Desc_220003	AI		购买后活动期间每日登录领取养成奖励	After purchase, log in daily during the event to claim cultivation rewards.	Tras la compra, inicia sesión cada día durante el evento para obtener recompensas de desarrollo.	Après l'achat, connectez-vous chaque jour pendant l'événement pour obtenir des récompenses de développement.	Setelah pembelian, masuk setiap hari selama event untuk mengambil hadiah pengembangan.	Nach dem Kauf täglich während des Events einloggen, um Entwicklungsbelohnungen zu erhalten.	구매 후 이벤트 기간 동안 매일 접속하여 육성 보상을 받으세요.	購買後活動期間每日登入領取養成獎勵	После покупки заходите каждый день во время события за наградами развития.	Після придбання заходьте щодня протягом події за нагородами розвитку.	購入後、イベント期間中は毎日ログインで育成報酬を獲得。	Dopo l'acquisto, accedi ogni giorno durante l'evento per ottenere ricompense di sviluppo.	Po zakupie loguj się codziennie podczas wydarzenia po nagrody rozwoju.	Após a compra, entre diariamente durante o evento para receber recompensas de desenvolvimento.	Satın aldıktan sonra etkinlik boyunca her gün giriş yaparak geliştirme ödüllerini al.	หลังจากซื้อ เข้าสู่ระบบทุกวันในช่วงกิจกรรมเพื่อรับรางวัลพัฒนา
TXT_Pack_Name_220004	AI		英雄养成手册·豪华版	Hero Cultivation Handbook · Deluxe	Manual de Desarrollo de Héroes · De lujo	Manuel de Développement des Héros · Deluxe	Buku Panduan Pengembangan Hero · Mewah	Helden-Entwicklungshandbuch · Deluxe	영웅 육성 수첩 · 디럭스판	英雄養成手冊·豪華版	Справочник развития героев · Делюкс	Довідник розвитку героїв · Делюкс	ヒーロー育成手帳・デラックス版	Manuale di Sviluppo Eroi · Deluxe	Podręcznik Rozwoju Bohaterów · Deluxe	Manual de Desenvolvimento de Heróis · De luxo	Kahraman Geliştirme Kitabı · Lüks	คู่มือพัฒนาฮีโร่ · ดีลักซ์
TXT_Pack_Desc_220004	AI		含基础版全部奖励，每日翻倍，满勤额外封顶大奖	Includes all Basic rewards, doubled daily, plus a full-attendance grand prize.	Incluye todas las recompensas del Básico, duplicadas cada día, más un gran premio por asistencia completa.	Inclut toutes les récompenses du Basique, doublées chaque jour, plus un grand prix d'assiduité complète.	Termasuk semua hadiah Dasar, digandakan setiap hari, plus hadiah utama kehadiran penuh.	Enthält alle Basis-Belohnungen, täglich verdoppelt, plus einen Hauptpreis für volle Teilnahme.	기본판의 모든 보상 포함, 매일 2배, 개근 시 추가 최종 대박 보상.	含基礎版全部獎勵，每日翻倍，滿勤額外封頂大獎	Включает все награды Базового, удвоенные ежедневно, плюс главный приз за полное посещение.	Містить усі нагороди Базового, подвоєні щодня, плюс головний приз за повну відвідуваність.	ベーシック版の全報酬を含み、毎日2倍、皆勤で追加の特大報酬。	Include tutte le ricompense Base, raddoppiate ogni giorno, più un gran premio presenza completa.	Zawiera wszystkie nagrody Podstawowej, podwojone codziennie, plus nagrodę główną za pełną obecność.	Inclui todas as recompensas do Básico, dobradas diariamente, mais um grande prêmio por presença total.	Temel'in tüm ödüllerini içerir, her gün iki katı, ayrıca tam katılım büyük ödülü.	รวมรางวัลพื้นฐานทั้งหมด เพิ่มเป็นสองเท่าทุกวัน พร้อมรางวัลใหญ่พิเศษเมื่อเข้าครบทุกวัน
TXT_ActvLogin_Luxury_Tagline	AI		每日奖励X2！	Daily Rewards x2!	¡Recompensas diarias x2!	Récompenses quotidiennes x2 !	Hadiah Harian x2!	Tägliche Belohnungen x2!	매일 보상 2배!	每日獎勵X2！	Ежедневные награды x2!	Щоденні нагороди x2!	毎日報酬2倍！	Ricompense giornaliere x2!	Codzienne nagrody x2!	Recompensas diárias x2!	Günlük Ödüller x2!	รางวัลรายวัน x2!
