# 我对永恒传奇前锋/前腰的评价，主要根据我个人手感来说的，仅供参考
# BV1aRm7BxEUt | 2025-12-12 | 1016s | play=5953 like=37 fav=8
# desc: -

[00:00] 哈嘍大家好
[00:01] 又有段時間沒有跟大家來閒聊了不知道大家最近過了怎麼樣
[00:05] 遊戲裡面有沒有歐或者說是開到什麼大卡
[00:09] 反正我最近過得還行吧雖然上週有點小波折
[00:12] 但是首先問題都解決了
[00:14] 而且我發現大家也都是還是民視裡的很多時候
[00:19] 好我們也廢話不多說今天給大家閒聊的一個話題呢是
[00:24] 我覺得部分玩家是比較關注的
[00:27] 就是我們的永恆中風的一個選擇或者說是前央這個中路
[00:32] 因為大家都知道在下個月馬上我們的永恆就會
[00:35] 長兩點能力值而且工資不變
[00:38] 不少中課甚至於小課他可能歐了的
[00:41] 他可能希望
[00:43] 把自己的球員比如賽季卡什麼的他把它置換
[00:47] 去換一個比較厲害的中風實際上我們這個遊戲FC Online一直包括FC系列
[00:53] 都是有一種說法叫做一個中風他可以帶10個費用
[00:57] 就是最早的時候有說法叫易羅帶10費那個時候是TY羅嗎
[01:02] 所以
[01:03] 從這句話大家就能看出一個中風對於一個陣容重要性在我此前的閒聊中也跟大家說過
[01:09] 一個資源分配問題中風
[01:11] 他在你的所有資源分配比裡面
[01:13] 他花費的這個精力和資金一定是最多的
[01:17] 所以我們今天有專門來聊一下因為我們直播的時候我發現了也有一些玩家開始提這個問題
[01:22] 我中風到底應該用誰
[01:24] 中風哪些是最夯的哪些是稍微拉一點的
[01:29] 我也不會像其他的那種博主一樣可能就是給你拉一個從夯到拉的排名我更多的是一個
[01:36] 口播
[01:36] 所以也不會有那種圖片大家就聽聽聽聽聽我的理解
[01:40] 就行了當然還是要說關於泳洪中風或者是前要的這個理解都是我個人的一個觀點
[01:46] 不代表是事實每個人的手感是完全不一樣的
[01:50] 所以大家僅供參考就可以了
[01:53] 好廢話不多說我們先開始
[01:55] 現在可以看到在遊戲當中啊這個泳洪中風和中路啊還是挺多的
[01:59] 目前排名前五的C羅
[02:02] 伊布亨利梅西和蘇亞梅西是出了比較早的
[02:06] 那我現在認為最夯的兩張中風會是誰呢
[02:11] C羅亨利
[02:12] 這兩張一定是凌駕於所有其他中風之上的
[02:16] 不管是從我們之前的職業聯賽
[02:19] 我們的排位都能發現啊C羅和亨利這兩張卡
[02:23] 他在中路這個位置他是一個霸主地位特別是C羅這張卡
[02:27] 誰用誰知道而且現在基本上按照國服的這種卡的這個能力值來說的話你基本上你有這樣C羅了
[02:35] 你有這樣單卡能把這張單卡你肯定能上癮他就是一個雙金特性
[02:39] 而且他的屬性幾乎都是拉滿的
[02:41] 甚至我們有就是一般這種
[02:44] 傳奇卡大羅中風他幾乎都是最好的
[02:48] 但是現在由於有C羅存在而且這個遊戲他的傳中一直是很強
[02:52] 所以就算永恆大羅出來
[02:55] 我覺得C羅這張卡
[02:57] 他不管是保值率還是說他的使用價值
[03:00] 肯定仍然會在頂級
[03:01] 應該是跟大羅不相上下的
[03:04] 因為我們現在已經公布了還有一個點就是
[03:06] 永恆卡最高能力值就是135所以大羅怎麼算他也最高是135了
[03:11] 就是我的一個判斷
[03:12] C羅肯第一然後亨利第二但他們兩個都是非常夯的
[03:16] 然後我們看到在前面還有
[03:18] 一張卡一步
[03:19] 一步這卡
[03:20] 他跟C羅一樣他的人蜜是非常多包括我自己也是一個一步的人蜜
[03:25] 然後還有一點就是一步的戶口太多了
[03:29] 我們以前算過
[03:30] 包括傳奇套一起一步總共應該是有8個套裝
[03:34] 應該是有7到8個套裝
[03:37] 所以他的戶口本
[03:38] 就讓他這張卡一直是高距不小而且
[03:42] 他這個
[03:43] 中間是有過一段時間的絕版吧大概絕版了有
[03:47] 幾年
[03:48] 所以這張卡的價格是很高的
[03:50] 但是從我自己使用的情況來看我覺得這卡真的挺笨的
[03:54] 那笨的卡還有哪些我們就一起
[03:56] 說一下那種高中風
[03:58] 德羅巴
[03:59] 一步和德羅巴這兩張卡我就放在一起說
[04:01] 我個人認為
[04:03] 這張卡如果你的延遲是在10以下
[04:07] 然後你有喜歡
[04:08] 就是打傳宗之類的那我覺得你選一步德羅巴是沒有問題的
[04:13] 但如果你的延遲平時在11以上而且你很少在晚上11點以後踢球
[04:17] 那我建議這張卡謹慎
[04:19] 因為他們真的很笨
[04:21] 在白天的時候特別是如果你在10延遲以上
[04:24] 但10延遲以下的話你可能會稍微好一點點
[04:27] 我準備過年的時候如果我回程度我會再好好去試一下這兩張卡
[04:31] 但現在從我武漢的角度來說
[04:33] 我真的不建議如果你在10延遲以上去買這兩張卡
[04:36] 非常笨包括
[04:38] 10顆一步我認為沒有什麼改變10顆一步算他的體重
[04:42] 從95公斤永恆是95變成了84
[04:46] 但我覺得仍然是他這個重心太高了
[04:49] 如果你還喜歡幽龍的那我覺得這兩卡幾乎是可以放棄了
[04:53] 哪怕一步他自帶一個靈巧致勝這個
[04:56] 我們說現在這個版本當中最強的一個精特性
[04:59] 我仍然是不太建議用這張卡
[05:02] 所以一步張卡我最多把它放在
[05:06] 第三等級剛我再補充一下就是這幾個
[05:09] 就是所有這個中路的排名
[05:12] 行那肯定是第一我們說的T0級
[05:15] 那T1級就是頂級然後T2
[05:17] 那他就是應該叫做人上人
[05:21] 然後T3就是稍微賴一點的那就是NPC了
[05:25] 然後最後一個就是拉完了T4了
