# [幻兽帕鲁]1.0正式版资源获取攻略！天阳乡烈阳金属/世界树帕鲁树晶矿一网打尽
# BV1SwNj6CEtA | 2026-07-10 | 530s | play=24733 like=291 fav=182
# desc: 想看什么攻略可以直接私信或者聊天都可以！持续更新干货攻略，感谢大家的关注。（新人up求关注！现在关注就是老粉丝了！）祝大家新的一年财源滚滚，也祝自己一帆风顺！粉丝群：912844119

[00:00] 毕竟视频带大家快速了解新版本天洋箱以及世界树
[00:04] 大家非常稀缺的一些矿物以及其他资源材料
[00:08] 包括我们解锁科技里面的一些功能设施制作所需要的材料
[00:12] 以及新版本新出的一些磁条植物体以及装备武器的图纸之类的材料
[00:18] 那么首先我们需要看到在我们科技66级解锁之后
[00:22] 在这一个等级阶段我们需要的金属材料是练阳金属定
[00:26] 需要这一个新出的古代文明炉烧制而成
[00:29] 那这一的话我们首先需要学习练阳金属矿物该如何获取
[00:34] 因为在后面比如67级之后的练阳帕鲁球以及这些新出的武器装备
[00:38] 还有功能建筑设施的话
[00:40] 以及帕鲁的安具我们都是需要用到练阳金属定才能制作的
[00:44] 一直持续到我们74级之后解锁帕鲁树精定这一个金属材料之后
[00:49] 后续的道具以及建筑的话都是需要用到帕鲁金属定来制作的
[00:53] 所以这一期我们主要的重点就是帕鲁树精定以及练阳金属定这两个材料的获取
[00:59] 然后额外附带一下其他的道具以及一些比较重要的东西获取
[01:03] 那么首先我们就要看到练阳金属矿物该如何获取
[01:07] 这个其实就是天阳箱里面独特的矿物了
[01:09] 我们来到天阳箱之后我推荐大家来这个减金群岛这里
[01:13] 这个船是某点旁边的话练阳金属矿石的数量还是比较多的
[01:18] 大家可以看到这里应该有个六七个将这一片挖完的话
[01:22] 就能短时间获得一笔不少的练阳金属矿物了
[01:25] 不需要注意我们玩家直接去攻击矿石的话是只会造成一点伤害的
[01:29] 而且不会掉落矿物
[01:31] 所以我们就需要选择有挖矿工作生意性的帕鲁来帮我们采集矿物
[01:35] 不过这个效率也并不是很高
[01:37] 所以这里就有一个小技巧
[01:39] 我们看到科技这里54级解锁的多功能等你只切割器
[01:44] 这把武器是新出的一个专用于我们挖矿或者是砍树的一个新功能武器
[01:49] 非常好用
[01:50] 不过在使用方面还是有小技巧的
[01:52] 我们如果直接对着石头来进行攻击的话也是只会造成一点伤害
[01:56] 我们需要对准内阳金属矿石它中间这个发光的弱点
[02:01] 我们攻击这个位置才会造成伤害以及掉落
[02:04] 而且玩家感觉这个弱点是只针对于我们等你只切割器的
[02:08] 我想其他武器去攻击这个弱点也是只会造成一点伤害
[02:12] 并不会掉落矿石
[02:14] 但是换成等你只切割器的话就可以直接进行攻击了
[02:17] 所以这个玩法大家一定要掌握
[02:19] 因为等你只切割器只需要54级科技就能解锁了
[02:22] 获得还是比较简单的
[02:24] 我们有了这把武器之后去采集内阳金属矿石
[02:28] 以及怕魯述金帝或者是神秘木材的话都是比较简单的
[02:32] 当然在新版本干资源的话
[02:33] 我们肯定是和小伙伴一起连接效率会更加快
[02:36] 这里新版本我推荐大家使用训络加速器
[02:38] 滴炎持稳定连接开放游玩
[02:40] 不仅可以让我们的连接更稳定
[02:42] 连接连接连接连接连接玩的时候会更加方便
[02:46] 没有加速时安的小伙伴也不需要担心
[02:48] 我们点击右上角的口令灯换输入局
[02:50] 就可以兑换三天的一个加速时长了
[02:53] 而这样我们就可以获得一个基础数量的内阳金属了
[02:56] 后面的话也是随着等级的提升
[02:58] 我们可以看到72级古代科技阵的话
[03:01] 我们可以看到有内阳金属采矿场
[03:03] 是只需要100个内阳金属就可以制作的
[03:06] 所以我们在G点放制之后就可以解决
[03:08] 我们需要外出采集内阳金属矿的一个问题了
[03:12] 只不过这个采集的效率还是比较慢的
[03:14] 大家可以看到现在工作的等级
[03:17] 是已经提升到上线到10级了
[03:19] 这里我们三只挖矿等级不算低的帕鲁来挖的话
[03:23] 他这个生产的效率还是比较低的
[03:25] 不过我们反正放在这挂机
[03:27] 数量还是能保证基础使用的
[03:29] 那他讲完了内阳金属定的获取方式
[03:32] 接下来就到了帕鲁数金定的
[03:34] 也是当前版本最高等级的金属矿石
[03:37] 那么帕鲁数金定是世界数内部特有的矿石
[03:41] 所以我们需要进到世界数
[03:43] 那么这种世界数的剧情流程的话
[03:45] 我们在之前的视频已经发布了
[03:47] 如果有不早的小伙伴可以去看一下
[03:49] 让我们来到世界数内部之后
[03:51] 可以发现这种紫色的水晶矿石的话
[03:54] 就是帕鲁数金定了
[03:56] 以及旁边看到的这些树木
[03:58] 都是我们所需要的另一种材料生命木材
[04:01] 但是需要注意的是世界数内部的这些矿石
[04:04] 以及树木我们正常情况下
[04:06] 玩家以及帕鲁去触碰
[04:07] 它都是会消失的
[04:09] 所以想要采集这些神秘木材
[04:10] 以及帕鲁数矿石的话
[04:12] 我们都是需要另外一个非常重要的材料
[04:14] 就是世界数渗水
[04:16] 而世界数渗水的获取方式
[04:18] 就是击杀或者捕捉
[04:20] 我们世界数内部的这些帕鲁
[04:21] 我们这里可以看到
[04:22] 击杀它之后
[04:23] 这里是掉落的世界数渗水的
[04:25] 这个世界数渗水
[04:26] 除了可以给我们玩家服用
[04:28] 然后用来采矿以及防墓之外
[04:30] 还可以作为物品资源道具的话
[04:32] 去制作一些东西
[04:34] 所以是非常重要的
[04:35] 而且获取的效率比较低
[04:37] 那么这里大家也可以看到
[04:38] 当我们玩家服用完
[04:39] 这个世界数渗水之后
[04:41] 身上会冒发一些buff的特效
[04:43] 那这样的话
[04:44] 我们去触碰这些树木以及矿石
[04:47] 这个树木就不会消失了
[04:49] 但这里大家可以看到
[04:50] 我们的帕鲁触碰到这个树木之后
[04:53] 还是会消失
[04:54] 所以如果我们需要齐成帕鲁
[04:56] 去采矿以及防墓
[04:58] 我们需要给帕鲁
[04:59] 也服用这个世界数渗水
[05:01] 这里大家就可以看到
[05:02] 多兰以及我们玩家身上
[05:03] 都会冒发一个buff的特效
[05:05] 这就是世界数渗水的一个效果了
[05:08] 不过需要注意
[05:08] 这个渗水的持续时间是比较短的
[05:11] 所以我们需要尽可能在短的时间内
[05:13] 快速的获取这些矿物资源
[05:15] 那么采集的技巧
[05:16] 其实跟练阳金属矿是差不多的
[05:18] 我们同样是使用这个
[05:20] 多功能的粒子切割器
[05:21] 其实在世界数内部
[05:23] 我们使用这一把功能武器
[05:24] 收获的效率也是非常快的
[05:27] 但是世界数渗水的效果
[05:28] 持续时间确实是太短了
[05:30] 接下来还有另外一个小技巧
[05:32] 也就是慢慢最强级别的磁条
[05:34] 世界数级别的磁条
[05:35] 我们这里可以看到
[05:37] 这些世界数级别磁条的话
[05:38] 它的被动效果都固定有一个
[05:41] 世界数区域类矿物已经
[05:43] 树木不会消失
[05:45] 让我们随便使用植物体
[05:47] 将一个磁条替换掉
[05:49] 这个磁条的颜色我们可以发现
[05:50] 就跟普通的红彩磁条不一样
[05:52] 还有额外的特效
[05:54] 而且在队伍当中
[05:54] 携带世界数级别磁条的帕鲁之后
[05:57] 我们玩家就会默认
[05:58] 自带渗水的一个效果了
[06:00] 大家可以看到特效是一直在的
[06:02] 不需要注意
[06:03] 这一个效果是只剩下于我们玩家的
[06:05] 像这里我们骑着多兰过来靠近树木
[06:07] 还是会导致树木消失
[06:09] 但是我们骑着有世界数磁条的云海路
[06:12] 就不会导致树木消失了
[06:14] 这样的话我们鞋带
[06:15] 带有世界数磁条的帕鲁
[06:17] 来采集矿物的效率就能大大提升
[06:20] 而且可以避免我们
[06:21] 世界数渗水的一个资源浪费
[06:24] 那这样大家也学会了帕鲁树金矿
[06:26] 以及我们的神秘木材
[06:28] 还有世界数渗水的一个获得方式了
[06:31] 接下来我就顺便再教一下来加
[06:32] 我们世界数级别的磁条是怎么获取的
[06:35] 就是植物体之类的
[06:37] 在前面教大家获取世界数渗水的时候
[06:40] 大家也没有发现
[06:41] 我们鸡杀这些帕鲁的时候
[06:42] 还会掉落这些漂亮的古代文明遗物啊
[06:46] 或者是其他各种品质的古代文明遗物
[06:49] 而这些古代文明遗物的作用
[06:50] 就是让我们通过资源转换的形式
[06:53] 来获得其他的稀有道具
[06:55] 那么这里我们就可以看到科技
[06:57] 其实四集之后
[06:58] 我们除了解锁帕鲁树精定之外
[07:01] 还可以看到一个功能建筑设施
[07:03] 古代文明遗物转换器
[07:05] 那么我们就需要用到这个遗物转换器
[07:08] 可以把我们的这些古代文明遗物
[07:10] 给转换成资源材料
[07:12] 这里我就给大家做一个示范
[07:13] 我们在上面可以放入古代文明遗物
[07:16] 然后这里的话
[07:16] 我们只需要有手工工作信心的帕鲁
[07:19] 就可以将这些古代文明遗物
[07:21] 生产成我们需要的各种稀缺资源
[07:23] 但这里的话世界数渗水
[07:25] 大家可以不加也可以加
[07:26] 加的话
[07:27] 应该是获得的材料是1.5倍率
[07:30] 也就是让我们获得的资源会更多一点
[07:32] 所以还是加为好
[07:33] 那这里的话
[07:34] 大家也可以看到
[07:35] 我前面是获得了很多的一些资源
[07:37] 基本上帮我们获取神秘木材
[07:39] 以及帕鲁树精换的效率是非常高的
[07:42] 然后我们运气好一点的话
[07:43] 还能获得其他应用学书籍
[07:45] 以及身心
[07:46] 还有提升我们帕鲁
[07:47] 其他潜力值之类的一些道具
[07:49] 那当然其中最重要的
[07:51] 莫过于我们前面讲解到的
[07:53] 一些世界数级别的词条
[07:55] 也是可以通过这个方式获取的
[07:57] 像一些新词条
[07:58] 比如双刃圣剑甚至能直接增加
[08:00] 我们帕鲁50%的攻击力
[08:02] 以及一些工作词条
[08:04] 可以增加90%的工作速度
[08:06] 所以这些世界数级别词条的效果
[08:08] 都是非常夸张的
[08:09] 大家也可以通过这个方式去获取
[08:11] 那么除了以上的资源获取之外
[08:13] 我们最后还可以看到远征
[08:16] 也就是新版本的远征的话
[08:17] 除了天阳乡以及世界数的两个副本
[08:20] 这里的话材料获取
[08:21] 大家也可以看一下
[08:22] 不过需要挑战高兰德
[08:24] 天阳乡塔组以及世界数的灾厄
[08:27] 所以说难度还是非常高的
[08:29] 只不过我们后期获取材料的方式
[08:32] 会比较简单一点
[08:33] 还是偏向于休闲
[08:35] 其他的资源获取的话
[08:36] 大家也可以去天阳乡里面刷空头
[08:39] 或者是开宝箱打敌巨点之类的
[08:41] 这些的话本期视频就直接给它省略了
[08:44] 因为比较简单
[08:45] 好了
[08:45] 那么到这里的话本期视频就结束了
[08:47] 感谢到观看
[08:47] 我们下期再见
[08:48] 拜拜
