# FConline瓦坎达 永恒评述直播切片 上期18:07 章节:吉鲁/古蒂/菲尔米诺/马赫雷斯/萨内蒂?/马尔基尼奥斯/希勒/卡恩/里瓦尔多/法布雷加斯/萨内蒂/卡纳瓦罗/欧文/罗伊斯/伊涅斯塔/劳尔/范佩西
# 抓取转写 2026-07-25

[00:00] 永恒切片上季他来了
[00:02] 关于永恒和时刻啊
[00:04] 曾经确实出过一些作品
[00:05] 大家看的也比较多
[00:07] 那么好多兄弟跟我说
[00:09] 哎现在手里可能也有点BP了
[00:11] 这个咱们重新来评价一下
[00:14] 但是我没用过的
[00:16] 我会客观的从数据上分析
[00:18] 但是我会仅仅以数据为主
[00:21] 我们从下到上好吧
[00:23] 首先第一个极鲁是我认为
[00:25] 所有永恒最烂的一张卡
[00:27] 有一说一最烂的卡
[00:28] 甚至不如百分之
[00:30] 大多数的赛季卡都比他强
[00:32] 所以这张卡
[00:33] 我觉得非常差
[00:35] 烂到给我都不用
[00:36] 只有金卡能顶领投球
[00:37] 也就是在下半场上来点点定位球
[00:40] 第二个谷地啊
[00:42] 这张卡基本上是和极鲁是一个党
[00:44] 我们就来普通的5卡6卡来说吧
[00:46] 这个卡的模型其实还可以
[00:48] 第一个左脚54
[00:49] 是对于大家普遍玩家的幼青
[00:51] 来说是有一定难度的
[00:53] 大家基本上啊
[00:54] 百分之60或者说
[00:55] 反正50偏高的人
[00:56] 是大概是喜欢
[00:58] 这个右脚的
[00:59] 第二个这个卡作为前腰
[01:01] 也就是说他的远射和射门力量
[01:02] 是不达标的
[01:03] 但是不是说没有
[01:04] 弧线还是可以的
[01:06] 然后对抗也不好
[01:07] 就整个这个卡
[01:08] 他前差投球的能力基本为0
[01:10] 就纯做做球
[01:11] 做球这样的一个能力啊
[01:12] 我个人觉得路平啊
[01:14] 所以就是纯运营
[01:15] 反正总体来说不太好
[01:16] 但是能用比极鲁顺
[01:18] 顺位要好一点的
[01:19] 菲尔米诺这个卡
[01:20] 我个人认为他不是
[01:22] 纯下水道
[01:23] 还是能救的一张卡
