# 【幻兽帕鲁】正式版全8级毕业打工帕鲁捕捉教程 无需培养 效率拉满!
# BV14WNw6PEHJ | 2026-07-11 | 147s | play=94696 like=1666 fav=2622
# desc: 

[00:00] 手無販售帕魯1.0正式版中全部畢業級打工帕魯
[00:03] 全是不用培養出場就自帶8級能力
[00:05] 可以說是新版必抓帕魯
[00:07] 難怪你抓帕魯我們走
[00:09] 第一隻手工界的神莫羅納
[00:10] 編號182自帶8級手工暗屬性不用睡覺
[00:13] 24小時連走轉
[00:14] 手搓裝備快的飛起
[00:16] 要想捕捉新版帕魯要先抓住這隻大鯨魚
[00:18] 然後就可以進入世界樹
[00:20] 第一隻就在地圖左下角這個淺灘傳送點
[00:22] 傳送過來在這附近就可以抓到
[00:24] 第二隻療火武林編號183
[00:26] 8級生活在隊伍裡會讓你的攻擊附帶點燃效果
[00:29] 捕捉地點在世界樹右上這裡有一隻BOSS
[00:31] 就這一隻78級
[00:32] 第三隻最強礦工盤甲龍編號184
[00:35] 8級挖礦一定要抓一隻放進你的礦山
[00:38] 捕捉地點在世界樹左下角這裡有一隻BOSS級別
[00:41] 第十隻發電機蒂龍波魯傑克斯編號187
[00:44] 8級發電
[00:44] 這隻也加強了可以提升隊伍中
[00:46] 帕魯的戰鬥和防禦可以疊30層
[00:49] 捕捉地點在世界樹紅色區域
[00:51] 在這個河畔傳送點附近就可以找到一堆
[00:53] 第五隻冷卻雙牙王編號191
[00:56] 這也是一隻強力的戰鬥帕魯
[00:58] 捕捉地點在世界樹上方的雪山地帶
[01:00] 這一大片都能抓到
[01:01] 第六隻塔圖小龍女的異條龍蕭龍編號192
[01:05] 8級澆水這是一隻能騎能飛的水龍王
[01:07] 能飛的大凶殘
[01:09] 捕捉地點在世界樹右下角
[01:10] 浮判傳送點附近可以抓到
[01:12] 第七隻重戲大腸腿蟲
[01:14] 木城兒編號193
[01:16] 8級治藥從此又多種打工能力
[01:18] 比較全能
[01:19] 捕捉地點在世界樹地圖最左下角
[01:21] 那這是一隻要進入戶本打的BOSS78級
[01:24] 第八隻重點天花板夜曼爵編號194
[01:27] 8級波動龍場直接全自動運轉
[01:29] 還自帶毒素免疫進世界樹探索時必備
[01:32] 捕捉地點在世界樹右上紅色區域
[01:34] 源頭傳送點這也是要進地牢打的BOSS78級
[01:37] 第九隻伐木王枝葉鹿非常漂亮的一隻帕魯
[01:40] 編號157
[01:41] 8級伐木這是近視路的一種
[01:43] 能給對內減血並加40%攻擊BUFF
[01:45] 打工打架都好用
[01:47] 捕捉地點在封印之勢傳送點
[01:49] 然後過橋之後在這個地方固定會有一隻
[01:51] 對同時會有一隻靜樹魯再加一隻枝葉鹿
[01:54] 可以兩隻一起抓
[01:55] 第十隻最強看家王神坤大鯨魚
[01:57] 近世界樹劇情是必定會抓到的
[01:59] 編號203雖然沒有任何打工能力
[02:01] 但是只要放進基地就會在天上盤旋
[02:04] 會自動攻擊入侵的敵人
[02:05] 第十隻我們的魔犯老員工空乌龍編號202
[02:08] 8級採集
[02:09] 他也一直是我們跑圖必備的坐騎帕魯
[02:12] 作為終極神獸
[02:13] 正式版被移動到了新地圖空島亭陽鄉的上方這個位置
[02:17] 其實即獨自佔據一小塊空島還是很有排面的
[02:20] 以上就是目前全部自帶8級打工能力的畢業帕魯
[02:23] 大家快把他們抓去幹活吧
[02:24] 看遊戲攻略記得關注男巫
