# 硬木材？纯水晶？帕鲁油？三分钟告诉你幻兽帕鲁正式版中大部分重要材料的获取方式。
# BV1kiNs6WEnF | 2026-07-11 | 191s | play=31022 like=400 fav=526
# desc: 关于珊瑚矿石的部分未必完全正确。

[00:00] 做这个视频的时候是7月11号
[00:02] 在北京时间早上8点整啊
[00:05] 也是从10号中午12点一直爽玩到现在
[00:08] 把主线全部过完了
[00:09] 这个视频的主要目的呢
[00:11] 是就我自己遇到的问题
[00:13] 给所有人做一个简单的攻略
[00:15] 不涉及任何剧透和指向性引导
[00:17] 说白了这游戏你即使不做
[00:19] 出现剧情瞎玩
[00:21] 也非常非常好玩
[00:22] 不过很多人可能会再推
[00:24] 科技术的时候遇到一些卡壳
[00:26] 比方说某些关键材料
[00:28] 不知道如何获取之类的
[00:30] 由于我自己就遇到了这样的问题啊
[00:32] 然后又因为版本才刚更新
[00:34] 还没有人出比较好的攻略
[00:36] 于是我就抽空花点时间做一下
[00:38] 希望能够帮到你们
[00:40] 实弹其实就是和石头一样
[00:42] 那种大矿石
[00:43] 但是是通体漆黑的
[00:45] 前期主要获取的手段
[00:47] 是在地下城中
[00:48] 比方左一塔旁边的那种
[00:50] 能和流黄一同获取
[00:52] 还有就是到等级
[00:53] 消高一点的区域会杀在地表
[00:56] 想要大量获取的话
[00:57] 沙漠地区是比较好的途径
[00:59] 比如地图中心
[01:00] 阿努比斯的沙丘区域
[01:02] 或者左下角
[01:03] 永延同心会的沿江区域木材
[01:05] 坎数主要刷新在等级
[01:07] 消高一点的区域
[01:08] 似乎是三世纪网上
[01:10] 或者是左下角的沿江区
[01:12] 枯木基本上在等级
[01:13] 消高的区域
[01:14] 遍地都是
[01:15] 优质帕鲁油
[01:17] 机杀或捕捉肥肥胖胖的帕鲁
[01:19] 比如蒙马和克隆
[01:20] 或者家畜牧场中
[01:22] 放两种粘于纯水机
[01:23] 基本上刷在冰雪地形中
[01:25] 和普通石头非常像
[01:27] 但是稍微有一点金属光泽
[01:29] 很像银矿园油
[01:30] 左上角櫻花岛的黑色地块
[01:32] 用园油提炼机开采
[01:34] 各铁矿
[01:35] 挺容易从高等级地区的宝箱中开出来
[01:38] 所以
[01:38] 我其实不知道别的获取条件是什么
[01:41] 六龙金矿左下角
[01:42] 生紫色和
[01:43] 前紫色地皮的区域遍地都是
[01:46] 很显眼的纯白色大石头
[01:48] 练阳金属正下方空岛区域遍地都是
[01:51] 注意要拿特殊的采矿枪
[01:52] 自矿石上发光的地方
[01:54] 不然只有一滴血
[01:55] 珊瑚矿石海面上会有那种
[01:57] 你在陆地上应该见过的残骸
[02:00] 带着水属性做起帕鲁去掉便可获得
[02:02] 帕鲁树金矿和神秘木材
[02:05] 进入世界书内部后
[02:06] 变得都是
[02:07] 古代文明部件
[02:08] 获取条件很多
[02:10] 主要是宝箱和地下城
[02:11] 以上便是你完成主线科技术所有
[02:14] 流程所需的必要材料的主要获取方式
[02:17] 欢迎补充
[02:18] 接下来是给纯新手的一点补充
[02:20] 所有的帕鲁材料
[02:21] 都可以通过放置特定
[02:23] 的帕鲁在家出牧场中
[02:25] 可以持续稳定获得
[02:26] 如果有以上未提及的
[02:28] 你又不知道怎么获取的材料
[02:30] 注意检查一下科技术
[02:31] 看看你是否有点量获取条件
[02:34] 如果还是有不解的地方
[02:35] 请在评论区留言
[02:37] 我会尽可能帮助你
[02:39] 最后顺带一提啊
[02:40] 他主左衣是可以入队的
[02:42] 来到这个地方再完成一些任务后
[02:44] 便可获得左衣爆电熊
[02:46] 至于左衣小姐个人的获取方式
[02:49] 就是你直接抓和你对话的任务
[02:51] NPC似乎是无限杀心的
[02:53] 反正我是抓了好几个
[02:55] 其中有个任务要求你击杀
[02:57] 或捕捉帕鲁保护协会的人
[02:59] 这些人在这个地区非常多
[03:01] 且是必杀的
[03:02] 好了到这里就差不多结束了
[03:05] 我要累死了
[03:06] 感谢你的收看
[03:07] 如果帮到你的话
[03:08] 你可以要好好感谢我
