# [幻兽帕鲁]1.0最新据点功能设施讲解！竟然还有能生产稀缺资源的古代文明物质转换器
# BV17jNH6zEKq | 2026-07-11 | 407s | play=72587 like=771 fav=324
# desc: 想看什么攻略可以直接私信或者聊天都可以！持续更新干货攻略，感谢大家的关注。（新人up求关注！现在关注就是老粉丝了！）祝大家新的一年财源滚滚，也祝自己一帆风顺！粉丝群：912844119

[00:00] 幻塑帕鲁1.0正式版更新以后
[00:02] 大家的注意力可能都在新帕鲁上
[00:04] 但是我感觉改动非常大的还有新距离的设施
[00:08] 今天就带大家一次看懂这些新设施
[00:11] 到底值不值得我们直接就开始建造
[00:14] 首先1.0最好的这些建筑
[00:16] 都是以古代文明为前綴的一些建筑
[00:19] 第一个就是我们66级解锁的这个古代文明炉
[00:22] 这个基本上就是我们新版本必备的
[00:25] 是因为我们毕业级的金属帕鲁束金钉
[00:28] 就要通过这个炉子来进行烧制
[00:31] 这个炉子它需要烧火和制兵两种帕鲁同时运行
[00:35] 才会生效
[00:36] 并且它提供10倍的工作速度
[00:39] 推荐指数5颗星
[00:41] 第二个就是67级解锁的古代文明工作台
[00:45] 这个工作台我们是必做的
[00:46] 因为后面有很多的材料
[00:48] 以及一些新的装备
[00:50] 都要靠这个工作台才能使用
[00:53] 并且这个工作台整合了之前
[00:55] 其他的一些工作台所有的功能
[00:58] 比如说一些帕鲁的安具制造器
[01:01] 以及一些帕鲁球制造器
[01:04] 都融合到了这一个制作台
[01:06] 所以这个古代文明设施就是我们必备的一个
[01:10] 推荐指数5颗星
[01:12] 第三个就是我们70级解锁的古代文明厨房
[01:15] 这个厨房可以做我们最新的一些蛋糕
[01:19] 这些蛋糕分别有一些不同的功能
[01:22] 更容易遗传被动纸条或者是多下一颗蛋
[01:25] 所以等到七八糟我们的材料没有那么紧缺的时候
[01:28] 再可以考虑造这一个
[01:30] 推荐指数3颗星
[01:32] 第四个是我们70级解锁的古代文明监控台
[01:35] 其实这个监控台变化并不大
[01:39] 跟我们原本的那个木质的监控台差别不大
[01:42] 但是它这个可以有效减缓帕鲁的扇植下降
[01:48] 在它这个外观面板上面
[01:49] 我们也可以看到自己给这个句点
[01:52] 调试的是一个什么样的工作方式
[01:55] 是繁重还是非常繁重
[01:57] 总体来说不是刚需
[01:59] 所以推荐指数我给到两颗星
[02:02] 第五个是古代文明粮阳锁
[02:04] 这个粮阳锁的效果有点出乎我的意料
[02:07] 我一开始以为就是一个普普通通的粮锁
[02:10] 跟这一版本没什么区别
[02:12] 没想到这个粮阳锁可以搭配上那个监控台
[02:15] 直接改成非常繁重的模式
[02:18] 并且据点点的帕鲁基本上还能保持一个
[02:21] 不错的一个扇植
[02:23] 不至于说生病以及一些其他扇植下降导致的不工作
[02:28] 不过它也需要一个比较高等级的一个制药的帕鲁
[02:32] 需要只派到这个粮阳锁的这个位置
[02:34] 才有这些效果
[02:36] 如果你的句点需要很多帕鲁来工作
[02:38] 那这一个设施
[02:40] 我的推荐指数可以给到四颗星
[02:42] 同样七十三级解锁的
[02:43] 还有这个古代文明帕鲁窗
[02:46] 这个整体造型跟普通的大型的帕鲁窗
[02:50] 没什么太大区别
[02:51] 它的效果就是让帕鲁的扇植恢复的快一些
[02:55] 并没有什么其他的效果
[02:57] 见到指数我只给到一颗星
[03:00] 来到本次更新
[03:01] 我就是最重要的设施
[03:02] 古代文明遗物转换器
[03:04] 当我们进入世界数以后
[03:06] 机杀BOSS以及小怪会获得一些古代文明遗物
[03:10] 这些古代文明遗物
[03:12] 分别有着五种不同的品质
[03:14] 而这不同品质可以通过这个古代文明转换器
[03:18] 来输出成不同的一些资源
[03:20] 像主播这里已经获得了本次更新
[03:23] 基本上是最强装备的一些金色图纸
[03:26] 也包括装备
[03:27] 都可以通过这个古代文明遗物转换器
[03:29] 给生成出来
[03:30] 但是值得一提的是
[03:32] 不是越高级的古代文明遗物
[03:34] 产生的资源品质就会越高
[03:37] 它只是数量会更多
[03:39] 同时这个下方还会有一个渗水的标识
[03:42] 这个我也是研究了一会才明白
[03:45] 当我们放上一瓶世界数渗水以后
[03:48] 它会进行1.5倍速的转换
[03:50] 并且发出这个蓝色的光圈效果
[03:53] 我测试过一瓶渗水
[03:54] 大概可以让150个古代文明遗物有加速效果
[03:59] 当然这些新装备的传奇品质的效果
[04:02] 也会在后面的视频给大家专门的实战演示出来
[04:06] 所以这个新设施我的推荐指数为5颗星
[04:11] 再到75级解锁的古代文明发电机
[04:13] 这个发电机跟之前的大型发电机差不多
[04:17] 并且它在比较高负荷的时候还需要浇水的帕鲁
[04:21] 去给它进行一个降温
[04:24] 整体的容量还可以
[04:26] 如果家里面发电需求量比较大的话
[04:28] 也可以考虑先造一下这个
[04:31] 但是没有什么额外的作用
[04:32] 所以推荐指数我只给到两颗星
[04:35] 再到76级解锁的古代文明温泉
[04:38] 这个温泉跟之前的大型温泉我感觉差距并不大
[04:42] 而且它所谓的材料也还挺多的
[04:45] 不过要是搭配上之前讲到的古代文明两样院
[04:49] 可以让据点里的帕鲁基本上都保持一个满活跃的状态
[04:54] 也还算是不错
[04:55] 推荐指数我给到三颗星
[04:58] 再到78级解锁的古代文明物质生气和古代文明栽培系
[05:02] 这两个都是对资源的获取
[05:04] 这个古代文明物质生气就像是整合了之前所有的
[05:08] 一些不管是伐木厂也有采矿厂也好
[05:12] 是把它整合到了一个装置里面
[05:15] 我们可以通过这个装置来选择自己想要生成的一些物质
[05:20] 然后放帕鲁对它进行一个开采
[05:23] 当我们想切换想开采的资源的时候
[05:25] 它这个动画也是夹仔的挺帅的
[05:28] 不过这个资源消耗还是挺大的
[05:30] 推荐指数给到四颗星
[05:33] 然后再到这个古代文明栽培系
[05:35] 这个其实就跟刚刚的物质涨案器差不多
[05:39] 它就是把我们之前那些农田所有的东西进行了一个整合
[05:43] 选择不想种植的一个作物
[05:45] 对它就可以进行一个循环的一个种植
[05:48] 主要是看起来也很高端大气
[05:51] 而且不占地方
[05:52] 但是感觉还是不如之前的叠加农田
[05:55] 所以说推荐指数我只能给到三颗星
[05:58] 还有一个比较重要的建筑漏掉了
[06:00] 就在今天直播的时候有小伙伴提醒我了
[06:02] 在这个76级的古代科技这里
[06:05] 还可以解锁一个古代文明配种器
[06:08] 这个配种器的效果还可以占地空间小
