# FConline瓦坎达 永恒评述直播切片 中期21:53 第1章普斯卡什起
# 抓取转写 2026-07-25

[00:00] 单狗相声只永恒切片,攻击他来了
[00:02] 来了
[00:03] 我行谱中的真神,普斯卡10
[00:06] 这张卡也不能说多么真神
[00:08] 但是这张卡我不知道有没有人有过
[00:10] 我近期直播大家有一定预算
[00:13] 但又不是特别多的情况下
[00:15] 我黄马套都是推荐的普斯卡10
[00:17] 这格门贼强
[00:19] 就是有没有兄弟有的
[00:20] 就现在有的用的
[00:22] 或者说你觉得不好用
[00:23] 你也可以分享到弹幕
[00:24] 这个卡是又能撞
[00:26] 又能跑,球里脚还进
[00:29] 而且他五四角的挫射传球都很稳
[00:31] 但是他有个缺点是什么
[00:32] 他有个缺点是他的逆足确实说
[00:34] 有的时候会影响到你
[00:35] 这个卡真的挺厉害的
[00:37] 而且他可以打前腰,影风,边风,边前
[00:39] 都可以打
[00:40] 是一个极其小众的一张卡
[00:42] 黄马一般人是不会想到他的
[00:45] 一般人是不会想到他的
[00:46] 他不要打中间打边路的话
[00:48] 起诉非常快
[00:50] 这个卡就可以试一下
[00:51] 我个人觉得打边路是介于
[00:54] 就是你预算不够I2O
[00:56] 不够那些非常好的卡
[00:57] 可以去参考一下这张卡
[00:59] 可以参考一下这张卡
[01:00] 这张卡1000多张
[01:01] 他能力值高
[01:03] 明白吧兄弟们
[01:04] 试一下
[01:04] 如果他打前腰的话
[01:06] 那他的类型呢
[01:07] 他的类型呢
[01:08] 如果他打前腰的类型
[01:09] 就肯定不是上上头球了
[01:10] 他就跟没起打前腰是一个道理
[01:12] 是通过游龙盘带和主动摆脱
[01:14] 去找挫射空间和传球的
[01:16] 这个卡就别说能不能买得到了
[01:17] 永恒能买到就很奇怪
[01:19] 能不能买到根本真的没关系
[01:20] 兄弟们
[01:21] 马赛道这个卡其实挺有意思
[01:23] 这个卡
[01:25] 首先时刻马赛洛和永恒马赛洛的金卡
[01:28] 金特性是不一样的
[01:29] 这个很搞笑
[01:30] 然后这个卡在我心目中怎么说呢
[01:33] 我觉得买他的兄弟们都是买不到卡
[01:36] 卡那个卡
[01:37] 卡洛斯的
[01:38] 我不知道我这么说对不对啊
[01:39] 就是买他的兄弟们都是买不到卡洛斯的
[01:42] 然后他是一个前场后场多面手
[01:44] 所有位置都能打
[01:45] 只要是边路中场后腰都可以打
