id	en	cn	ar	de	fr	jp	kr	po	ru	sp	th	tr	zh	vi	id	it	pl	_pkgs
LC_BUILDING_Bulletin_new	NEW	新	جديد	NEU	NOUV.	NEW	새로운	NOVI.	НОВОЕ	NUEV.	ใหม่	YEN	新	MỚI	BARU	NUOVO	NOWE	FlashSale
LC_EVENT_flash_sale_main_buy_time	SALE LIVE!	抢购中！	تخفيضات مباشرة!	VERKAUF LIVE!	VENTE EN DIRECT!	セールライブ！	세일 라이브!	PROMOÇÃO AO VIVO!	РАСПРОДАЖА В ПРЯМОМ ЭФИРЕ!	¡VENTA EN VIVO!	การขายสด!	SATIŞ CANLI!	搶購中！	KHUYẾN MÃI TRỰC TIẾP!	PENJUALAN LANGSUNG!	VENDITA DAL VIVO!	WYPRZEDAŻ NA ŻYWO!	FlashSale
LC_EVENT_flash_sale_main_gacha_button	LOTTERY	抽奖	يانصيب	LOTTERIE	LOTTERIE	抽選	복권	LOTERIA	ЛОТЕРЕЯ	LOTERÍA	ลอตเตอรี่	PİYANGO	抽獎	XỔ SỐ	UNDIAN	LOTTERIA	LOTERIA	FlashSale
LC_EVENT_flash_sale_main_gacha_tips_2	FREE LOTTERY	免费抽奖	يانصيب مجاني	KOSTENLOSE LOTTERIE	LOTTERIE GRATUITE	無料抽選	무료 복권	LOTERIA GRÁTIS	БЕСПЛАТНАЯ ЛОТЕРЕЯ	LOTERÍA GRATIS	ลอตเตอรี่ฟรี	ÜCRETSİZ PİYANGO	免費抽獎	XỔ SỐ MIỄN PHÍ	UNDIAN GRATIS	LOTTERIA GRATIS	DARMOWA LOTERIA	FlashSale
LC_EVENT_flash_sale_main_show_time	DISPLAYING	展示中	عرض	ANZEIGEN	EXPOSITION	表示中	표시 중	EXIBINDO	ДЕМОНСТРАЦИЯ	DESPLEGANDO	กำลังแสดง	SERGİLENİYOR	展示中	ĐANG TRƯNG BÀY	MENAMPILKAN	ESPOSIZIONE	PREZENTOWANIE	FlashSale
LC_EVENT_flash_sale_share_tips_1	Share for the first time to receive	首次分享可获得	شارك لأول مرة للحصول على	Teile zum ersten Mal, um zu erhalten	Partager pour la première fois pour recevoir	最初にシェアして受け取る	처음으로 공유하여 받기	Compartilhe pela primeira vez para receber	Поделитесь в первый раз, чтобы получить	Comparte por primera vez para recibir	แชร์เป็นครั้งแรกเพื่อรับ	İlk kez paylaş ve al	首次分享可獲得	Chia sẻ lần đầu để nhận	Bagikan untuk pertama kalinya untuk menerima	Condividi per la prima volta per ricevere	Udostępnij po raz pierwszy, aby otrzymać	FlashSale
LC_EVENT_flash_sale_share_tips_2	Receive <color=#FF9D00>{0}</color> supports and purchase any pack	获得<color=#FF9D00>{0}</color>次助力并购买任意礼包	تلقي <color=#FF9D00>{0}</color> دعم وشراء أي باقة	Erhalte <color=#FF9D00>{0}</color> Unterstützungen und kaufe ein beliebiges Paket	Obtenez <color=#FF9D00>{0}</color> soutiens et achetez n'importe quel pack	<color=#FF9D00>{0}</color>サポートを受け取り、任意のパックを購入する	<color=#FF9D00>{0}</color> 지원을 받고 아무 팩이나 구매하세요	Receba <color=#FF9D00>{0}</color> suportes e compre qualquer pacote	Получите <color=#FF9D00>{0}</color> поддержек и купите любой набор	Recibe <color=#FF9D00>{0}</color> apoyos y compra cualquier paquete	รับการสนับสนุน <color=#FF9D00>{0}</color> และซื้อแพ็คใดๆ	<color=#FF9D00>{0}</color> destek al ve herhangi bir paket satın al	取得<color=#FF9D00>{0}</color>次助力並購買任意禮包	Nhận <color=#FF9D00>{0}</color> hỗ trợ và mua bất kỳ gói nào	Terima <color=#FF9D00>{0}</color> dukungan dan beli paket apa pun	Ricevi <color=#FF9D00>{0}</color> supporti e acquista qualsiasi pacchetto	Odbierz <color=#FF9D00>{0}</color> wsparć i kup dowolny pakiet	FlashSale
LC_EVENT_flash_sale_share_title	Share to Win Prizes	分享赢好礼	شارك للفوز بالجوائز	Teile, um Preise zu gewinnen	Partagez pour gagner des prix	シェアして賞品を獲得する	공유하여 상품을 획득하세요	Compartilhar para Ganhar Prêmios	Поделитесь, чтобы выиграть призы	Compartir para Ganar Premios	แชร์เพื่อชนะรางวัล	Paylaşarak Ödüller Kazan	分享贏好禮	Chia Sẻ Để Giành Phần Thưởng	Bagikan untuk Menangkan Hadiah	Condividi per vincere premi	Udostępnij, aby wygrać nagrody	FlashSale
LC_IAP_flashsale_buy_participate_tip	After the flash sale starts, purchase items to participate	抢购开启后，购买道具可参与	بعد بدء التخفيضات، اشترِ العناصر للمشاركة	Nach Beginn des Flash-Sales können Sie Gegenstände kaufen, um teilzunehmen	Après le début de la vente flash, achetez des objets pour participer	フラッシュセール開始後、アイテムを購入して参加	플래시 세일 시작 후, 아이템 구매로 참여	Após o início da promoção relâmpago, compre itens para participar	После начала распродажи покупайте предметы для участия	Tras iniciar la venta relámpago, compra objetos para participar	หลังจากแฟลชเซลเริ่ม ซื้อไอเทมเพื่อเข้าร่วม	Flaş indirim başladıktan sonra, katılmak için eşya satın alın	搶購開啟後，購買道具可參與	Sau khi flash sale bắt đầu, mua vật phẩm để tham gia	Setelah flash sale dimulai, beli item untuk berpartisipasi	Dopo l'inizio della vendita flash, acquista oggetti per partecipare	Po rozpoczęciu wyprzedaży błyskawicznej, kup przedmioty, aby wziąć udział	FlashSale
LC_IAP_flashsale_coming_soon	Coming Soon	即将开抢	قريبًا	Demnächst	Bientôt disponible	まもなく開始	곧 시작	Em breve	Скоро	Próximamente	เร็วๆ นี้	Yakında	即將開搶	Sắp diễn ra	Segera Hadir	In arrivo	Wkrótce	FlashSale
