# 【幻兽帕鲁】十种新材料的介绍和用途！看完秒融版本！
# BV1BeNE68EAw | 2026-07-10 | 273s | play=14832 like=170 fav=143
# desc: 

[00:00] 世界樹盛水 帕魯樹金錠 獵羊金屬錠 超高熱核心 AI核心 神木
[00:07] 以及GT1戒指 腐蝕熔葉 生化電池 電腦
[00:12] 以上10種材料是換售帕魯1.0的新材料
[00:16] 而本期視頻花的將給各位帶來這10種材料的獲取方法和功能用途
[00:21] 新的馬頭
[00:22] 那麼本期視頻是方便載著的各位快速熔1.0版本節奏當中
[00:27] 刷到的小老闆可以點個小贊受償銷
[00:29] 以防下次找不到這麼好的攻略了
[00:33] 那麼首先需要重新學習和了解的是31級開放的極低溫戒指
[00:39] 37級的腐蝕熔葉還有44級的生化電池
[00:43] 那麼這三種材料我之所以要著重提一卷
[00:46] 是因為我在唱完之後沒想到新材料會出現在第一等級的接觸欄目
[00:51] 害我找了好久
[00:53] 殊不知需要退回去重新點
[00:55] 那麼點好之後在作業工廠就可以找到並製作了
[00:59] 製作出這三種材料之後呢
[01:01] 我們就可以成功製作出50級的新材料電腦
[01:05] 以及59級的新材料超高熱核心
[01:09] 那麼解鎖了以上各種材料之後呢
[01:12] 我們就可以解鎖一個新的採集設備
[01:15] 它的名字叫做多功能等離子切割器
[01:17] 它需要的材料有帕魯金屬錠、樹缸、生化電池、電腦
[01:22] 以及極低溫戒指
[01:23] 而它用來採集什麼設備呢
[01:26] 沒錯就是咱們66級的一個新的金屬錠
[01:30] 叫做獵羊金屬錠
[01:31] 而製作這種獵羊金屬錠需要採集獵羊金屬
[01:36] 而獵羊金屬又要用到這個等離子切割器
[01:39] 那麼獵羊金屬在哪兒
[01:41] 首先我們打開地圖來到地圖的最下方
[01:43] 這邊有一個新的地圖區域
[01:46] 我們直接找到捷徑群島
[01:48] 傳送到之後就可以看到這種石頭了
[01:51] 被白色的水晶所包圍
[01:53] 然後我們要怎麼採集呢
[01:55] 它這個採集還挺強就了
[01:57] 當你用的離子切割器直接發射
[02:00] 打到獵羊金屬礦上時會出現1的傷害
[02:03] 這樣的採集是無效的
[02:04] 而我們要打哪裡呢
[02:06] 打這個發光的點
[02:07] 打到這個發光的點就有很明顯的傷害提高了
[02:10] 然後就能採集到獵羊金屬礦了
[02:13] 那麼想要燒製獵羊金屬錠
[02:16] 我們以前的巨大熔爐是不行的
[02:19] 最新的獵羊金屬錠要在哪裡燒製呢
[02:21] 我們看到科技
[02:23] 科技第66級有一個叫做古代文明爐的生產裝置
[02:28] 它需要三五釘
[02:29] 超高的核心
[02:30] 電腦以及古代文明核心
[02:31] 這些材料我們都有了
[02:33] 那麼建造出來之後
[02:34] 我們可以來看一看
[02:36] 獵羊金屬錠
[02:37] 那麼古代文明爐它可以燒製
[02:39] 帕魯樹金釘和獵羊金屬錠
[02:42] 不同的是
[02:43] 它現在燒製兩種材料
[02:45] 需要冰跟火兩種屬性的加持
[02:48] 所以後續的帕魯可能也需要提升
[02:51] 因為我這邊的幻動獸好像速度有點慢
[02:55] 噴陰龍的話還是挺扛大的
[02:57] 而搞到獵羊金屬錠之後
[03:00] 至關重要的下一個材料是什麼呢
[03:02] 沒錯
[03:02] 67級的AI核心
[03:04] 它需要的材料是電腦
[03:06] 獵羊金屬錠
[03:07] 超高熱核心
[03:08] 以及古代文明核心
[03:10] 古代文明核心進入世界術內部
[03:13] 擊打一些小怪以及BOSS
[03:14] 就能獲得
[03:15] 至於怎麼進入世界術內部
[03:17] 話題的上一期視頻說了
[03:18] 不知道的朋友可以去看一下
[03:20] 那麼解鎖這個AI核心
[03:22] 又有什麼目的呢
[03:24] 那可太重要了
[03:25] 比如最新最強的武器
[03:28] 光束砲發射器
[03:29] 以及各種新的裝備
[03:30] 都需要用到AI核心
[03:32] 比如說清病原骨盔甲
[03:34] 還有耐寒原骨盔甲
[03:36] 怎麼樣
[03:36] 我就問你它
[03:37] 這麼不重要
[03:38] 對
[03:38] 那麼最後三種材料
[03:40] 世界術勝水
[03:41] 以及神秘木材
[03:42] 還有帕魯樹金礦
[03:43] 都必須在世界術內部獲取
[03:45] 首先是世界術勝水
[03:47] 它除了能做基礎材料之外
[03:49] 最重要的是
[03:50] 它是消耗品屬性
[03:52] 而獲取神秘木和帕魯樹金礦
[03:54] 就必須喝下世界術勝水
[03:56] 而獲取世界術勝水的方式
[03:57] 也很簡單
[03:58] 擊敗世界術內部的一些野生帕魯
[04:01] 就能爆出許多的世界術勝水了
[04:03] 那麼神秘木和帕魯樹金礦
[04:05] 就更加簡單了
[04:06] 在世界術內部
[04:07] 有著隨處可見的
[04:08] 這兩種材料
[04:09] 在我們沒有喝下
[04:10] 蘇世界術勝水之前
[04:11] 它一碰就會消失
[04:13] 那麼喝下世界術勝水之後
[04:15] 我們就可以採集了
[04:16] 如果你想採集更多
[04:18] 那麼就要喝下更多的世界術勝水
[04:20] 喝到採集夠為止
[04:22] 好的各位
[04:23] 那麼本期視頻要講就這麼多
[04:25] 如果你學會了的話
[04:26] 不要忘記給主播點贊關注收藏哦
[04:29] 咱們下次再見吧
[04:30] 拜拜
