# FConline瓦坎达 永恒评述直播切片 下期20:30 第2章维埃拉/埃辛等
# 抓取转写 2026-07-25

[00:00] 直播见一千多人看过我说单口相声的永恒切片他来了
[00:03] 爱心
[00:05] 我什么都不说爱心我不会给到他神中神中神但我给他神卡爱心确实很强而且这张卡有一个别的赛季都比不了的
[00:11] 你知道是啥兄弟们兄弟们你们猜一下
[00:14] 不重说了我会发作品的兄弟们
[00:17] 这张爱心有弧线
[00:18] 咱们四句七六人了恭喜恭喜
[00:21] 这张爱心有弧线
[00:23] 这张爱心有弧线的兄弟们
[00:25] 我觉得这对于爱心来说就很重要
[00:28] 爱心一直都是远舍比弧线好但是这张卡是有ZD的
[00:31] 真的是有ZD的主播帮我开战号我介绍女生给你认识
[00:35] 上号现在
[00:35] 看完小的我对女生不感兴趣
[00:39] 我爱拉这个卡
[00:44] 这个卡我给不到神中神中神
[00:46] 就是四个神我能给到三个神绝对的神卡
[00:49] 我能给到三个神而且这张卡不可替代
[00:51] 而且他也是唯一一个有弧线的我爱拉兄弟们这个卡是我第一个
[00:56] 25年10月份花7000块钱买的卡
[00:59] 而且我现在手里的三张永恒就是通过为爱拉一换三的
[01:04] 为爱拉绝对是神卡但是我觉得给不到
[01:07] 我觉得他和你这样卡尔德我会选你这卡尔德是这个意思
[01:09] 是这个意思但是他真的很强而且他是唯一的
[01:12] 有挫射的为爱拉
[01:13] 我太了解这张卡因为这是我第一张永恒
[01:16] 这是我第一张永恒而且他也是四五角之前的赛金卡只有GRU的
[01:19] 是四五角是全是五三角
[01:21] 这个卡绝对值得你买
[01:23] 绝对值得你买防守极其存在的感高
[01:25] 尤其是打中后为跟神一样
[01:27] 反正就是三个神吧给不到
[01:29] 给不到第七个神中神中神
[01:32] 能给到神中神中神
[01:34] 很厉害啊很厉害这个卡
[01:36] 非常想值得买
[01:38] 小贝这个卡我能给到神卡
[01:39] 但是小贝现在定位真的很尴尬
[01:41] 就是他的定位现在纯粹就是中场以及拖后后腰组织后腰
[01:45] 对为爱拉后宝绝对的神卡为爱拉绝对的好卡值得买的
[01:48] 打边路挂身后其实也能跑得起来
[01:51] 反正我觉得小贝的手感都差不多
[01:53] 而且就基本都一样
[01:55] 就这个就看你买我买吧
[01:56] 我是这个觉得就是你买也可以
[01:58] 你不买也行
[01:59] 好吧就是你买也行你买不买也行
[02:01] 我个人觉得他也强和超强之间吧
[02:05] 但是打中场比我个人觉得打比打边路要强
