key	状态	opt	cn	en	sp	fr	id	de	kr	zh	ru	ua	jp
TXT_Emoticons_Name_300	AI		[阿尔及利亚加油]	[Go Algeria!]	[¡Vamos Argelia!]	[Allez Algérie!]	[Ayo Aljazair!]	[Los Algerien!]	[알제리 파이팅!]	[阿爾及利亞加油]	[Вперёд, Алжир!]	[Вперед, Алжир!]	[がんばれアルジェリア！]
TXT_Emoticons_Name_301	AI		[阿根廷加油]	[Go Argentina!]	[¡Vamos Argentina!]	[Allez Argentine!]	[Ayo Argentina!]	[Los Argentinien!]	[아르헨티나 파이팅!]	[阿根廷加油]	[Вперёд, Аргентина!]	[Вперед, Аргентина!]	[がんばれアルゼンチン！]
TXT_Emoticons_Name_302	AI		[澳大利亚加油]	[Go Australia!]	[¡Vamos Australia!]	[Allez Australie!]	[Ayo Australia!]	[Los Australien!]	[호주 파이팅!]	[澳大利亞加油]	[Вперёд, Австралия!]	[Вперед, Австралія!]	[がんばれオーストラリア！]
TXT_Emoticons_Name_303	AI		[奥地利加油]	[Go Austria!]	[¡Vamos Austria!]	[Allez Autriche!]	[Ayo Austria!]	[Los Österreich!]	[오스트리아 파이팅!]	[奧地利加油]	[Вперёд, Австрия!]	[Вперед, Австрія!]	[がんばれオーストリア！]
TXT_Emoticons_Name_304	AI		[比利时加油]	[Go Belgium!]	[¡Vamos Bélgica!]	[Allez Belgique!]	[Ayo Belgia!]	[Los Belgien!]	[벨기에 파이팅!]	[比利時加油]	[Вперёд, Бельгия!]	[Вперед, Бельгія!]	[がんばれベルギー！]
TXT_Emoticons_Name_305	AI		[波黑加油]	[Go Bosnia!]	[¡Vamos Bosnia!]	[Allez Bosnie!]	[Ayo Bosnia!]	[Los Bosnien!]	[보스니아 파이팅!]	[波赫加油]	[Вперёд, Босния!]	[Вперед, Боснія!]	[がんばれボスニア！]
TXT_Emoticons_Name_306	AI		[巴西加油]	[Go Brazil!]	[¡Vamos Brasil!]	[Allez Brésil!]	[Ayo Brasil!]	[Los Brasilien!]	[브라질 파이팅!]	[巴西加油]	[Вперёд, Бразилия!]	[Вперед, Бразилія!]	[がんばれブラジル！]
TXT_Emoticons_Name_307	AI		[加拿大加油]	[Go Canada!]	[¡Vamos Canadá!]	[Allez Canada!]	[Ayo Kanada!]	[Los Kanada!]	[캐나다 파이팅!]	[加拿大加油]	[Вперёд, Канада!]	[Вперед, Канада!]	[がんばれカナダ！]
TXT_Emoticons_Name_308	AI		[科特迪瓦加油]	[Go Ivory Coast!]	[¡Vamos Costa de Marfil!]	[Allez Côte d'Ivoire!]	[Ayo Pantai Gading!]	[Los Elfenbeinküste!]	[코트디부아르 파이팅!]	[象牙海岸加油]	[Вперёд, Кот-д'Ивуар!]	[Вперед, Кот-д'Івуар!]	[がんばれコートジボワール！]
TXT_Emoticons_Name_309	AI		[刚果民主共和国加油]	[Go DR Congo!]	[¡Vamos RD Congo!]	[Allez RD Congo!]	[Ayo RD Kongo!]	[Los DR Kongo!]	[콩고민주공화국 파이팅!]	[剛果民主共和國加油]	[Вперёд, ДР Конго!]	[Вперед, ДР Конго!]	[がんばれコンゴ民主共和国！]
TXT_Emoticons_Name_310	AI		[哥伦比亚加油]	[Go Colombia!]	[¡Vamos Colombia!]	[Allez Colombie!]	[Ayo Kolombia!]	[Los Kolumbien!]	[콜롬비아 파이팅!]	[哥倫比亞加油]	[Вперёд, Колумбия!]	[Вперед, Колумбія!]	[がんばれコロンビア！]
